Dvina	64.569   40.548	Gan-Brah	23.225   90.633	MacKenzie	69.450 -134.150	Mekong	9.617  106.250	Miss	29.113  -89.263	Niger	4.396    6.070	Nile	31.446   30.387	Parana	-92.454	Waipaoa	-38.708  177.940	Yellow	37.771  119.180	Ganges	22.312   91.001	Song Hong	20.262  106.575	Po	44.908   12.480	Rhine Meuse	52.005    4.082	Tama	35.630  139.798	Trinity	29.780  -94.733
-7.25	6.709	-7.25	-1.451	-7.25	-23.041	-7.25	0.517	-7.25	-21.431	-7.25	-6.927	-7.25	-8.354	-7.25	1.182	-7.25	-2.151	-7.25	-1.191	-7.25	-2.396	-7.25	-1.616	-7.25	-6.3	-7.25	-3.191	-7.25	-2.362	-7.25	-17.322
-7	7.901	-7	0.255	-7	-20.147	-7	2.123	-7	-19.062	-7	-4.895	-7	-6.387	-7	2.706	-7	-0.447	-7	0.593	-7	-0.615	-7	0.205	-7	-4.768	-7	-1.822	-7	-0.499	-7	-15.232
-6.75	8.834	-6.75	1.629	-6.75	-17.562	-6.75	3.395	-6.75	-16.997	-6.75	-3.237	-6.75	-4.736	-6.75	3.838	-6.75	0.905	-6.75	2	-6.75	0.834	-6.75	1.681	-6.75	-3.477	-6.75	-0.645	-6.75	0.941	-6.75	-13.44
-6.5	8.868	-6.5	1.557	-6.5	-15.822	-6.5	3.134	-6.5	-16.136	-6.5	-2.994	-6.5	-4.368	-6.5	3.564	-6.5	0.801	-6.5	1.933	-6.5	0.828	-6.5	1.654	-6.5	-3.225	-6.5	-0.309	-6.5	0.8	-6.5	-12.839
-6.25	8.865	-6.25	1.522	-6.25	-14.22	-6.25	2.939	-6.25	-15.265	-6.25	-2.723	-6.25	-3.988	-6.25	3.341	-6.25	0.748	-6.25	1.904	-6.25	0.857	-6.25	1.661	-6.25	-2.934	-6.25	0.014	-6.25	0.769	-6.25	-12.212
-6	8.852	-6	1.543	-6	-12.708	-6	2.824	-6	-14.369	-6	-2.408	-6	-3.578	-6	3.181	-6	0.759	-6	1.928	-6	0.936	-6	1.717	-6	-2.596	-6	0.349	-6	0.788	-6	-11.539
-5.75	8.689	-5.75	1.469	-5.75	-11.424	-5.75	2.615	-5.75	-13.6	-5.75	-2.205	-5.75	-3.284	-5.75	2.952	-5.75	0.688	-5.75	1.851	-5.75	0.916	-5.75	1.669	-5.75	-2.364	-5.75	0.544	-5.75	0.71	-5.75	-10.979
-5.5	8.477	-5.5	1.399	-5.5	-10.258	-5.5	2.421	-5.5	-12.857	-5.5	-2.014	-5.5	-3.009	-5.5	2.779	-5.5	0.623	-5.5	1.78	-5.5	0.895	-5.5	1.618	-5.5	-2.144	-5.5	0.701	-5.5	0.643	-5.5	-10.433
-5.25	8.256	-5.25	1.362	-5.25	-9.16	-5.25	2.269	-5.25	-12.101	-5.25	-1.802	-5.25	-2.72	-5.25	2.63	-5.25	0.599	-5.25	1.737	-5.25	0.904	-5.25	1.595	-5.25	-1.902	-5.25	0.861	-5.25	0.617	-5.25	-9.861
-5	8.012	-5	1.341	-5	-8.134	-5	2.142	-5	-11.352	-5	-1.588	-5	-2.436	-5	2.499	-5	0.597	-5	1.706	-5	0.925	-5	1.582	-5	-1.661	-5	1.004	-5	0.611	-5	-9.285
-4.75	7.735	-4.75	1.317	-4.75	-7.184	-4.75	2.019	-4.75	-10.628	-4.75	-1.389	-4.75	-2.211	-4.75	2.376	-4.75	0.593	-4.75	1.67	-4.75	0.942	-4.75	1.563	-4.75	-1.435	-4.75	1.118	-4.75	0.609	-4.75	-8.722
-4.5	7.451	-4.5	1.311	-4.5	-6.299	-4.5	1.92	-4.5	-9.904	-4.5	-1.185	-4.5	-1.963	-4.5	2.272	-4.5	0.605	-4.5	1.647	-4.5	0.97	-4.5	1.557	-4.5	-1.208	-4.5	1.224	-4.5	0.628	-4.5	-8.152
-4.25	7.167	-4.25	1.326	-4.25	-5.46	-4.25	1.85	-4.25	-9.169	-4.25	-0.968	-4.25	-1.702	-4.25	2.188	-4.25	0.642	-4.25	1.645	-4.25	1.019	-4.25	1.569	-4.25	-0.971	-4.25	1.333	-4.25	0.674	-4.25	-7.565
