system:index,BasinID2,change,change2,deposition,deposition2,erosion,erosion2,notwater,water,.geo
00000000000000000000,2920186,0.8509864165477108,1.8215195166886935,2.8541997146337006,4.016636431699972,-2.00321329808599,-2.1951169150112784,"[0.0, 0.0, 0.0, 0.0, 3.8667131564094204, 3.753281879807701, 4.6613675694479815, 3.7034569179448136, 6.283193215960392, 3.0522013019705705, 4.475153161227132, 0.0, 3.2945293433938034, 0.0, 0.0, 2.5385310987256897, 3.595393211001394, 3.675779359818032, 4.412195215172409, 4.762861141720687, 4.108064906814888, 5.128297408352695, 4.0963535426618884, 4.961959692173596, 5.041126816653735, 4.654622025740546, 5.599538384034648, 4.495631412816011, 4.507739456982683, 5.032512031836812, 5.585448986950019, 4.317092663240332, 4.66475860007906, 4.812767408464365, 4.930579916428432, 4.404347636547934]","[0.0, 0.0, 0.0, 0.0, 61.954588131608425, 63.71032959619355, 60.724542066379804, 58.51246195667232, 59.19916396791994, 50.964024775976476, 62.991646070013736, 0.0, 62.83154699860959, 0.0, 0.0, 62.69704900135628, 62.73531842089133, 61.939217662316175, 60.36214259455433, 61.16638841084611, 57.17419461637384, 58.49078466988359, 59.20276283776784, 58.846188714461995, 60.027877377567016, 61.27228082287846, 59.166157490979465, 61.94176362285852, 63.7760987037735, 60.36851509188279, 60.134781527561074, 64.05338321309404, 61.106095285926706, 62.55373439804203, 62.11775399793069, 63.36090371888114]",
00000000000000000001,644291,0.16706026352537767,-0.0039284458618164065,0.4680689531276066,0.0,-0.30100868960222893,-0.0039284458618164065,"[0.9715880313502897, 0.878326696615181, 0.48641909354343754, 0.728877480574305, 0.6779602064666144, 1.073165196326522, 1.2480519608974068, 1.0038896212839155, 0.5763163994790454, 0.9432357515683638, 0.992644914379164, 0.877451085821414, 1.3207287913169738, 0.44590201248384387, 0.6730516050370756, 0.608238930605541, 0.7651377082305297, 0.8395095639553884, 0.5979770016520185, 0.8675382427770267, 0.4023335337927729, 0.8801775003356941, 0.8131471949128983, 0.672898661316277, 0.8558006285553581, 0.748349896012131, 0.989520415905164, 0.7942253952026377, 1.0762124217193003, 0.8642922699765668, 0.7974349423093308, 0.5892901051911001, 0.8365068179114249, 0.24189098895263655, 1.1602160790450762, 0.737412421621645]","[513.5908426151589, 523.6029146258138, 524.2723051781659, 525.2972063972564, 525.2598544737389, 519.2943932993479, 518.7821875354807, 523.5105098836655, 511.9030134232667, 523.5527471897807, 525.0850462864, 519.18194487464, 522.694264009374, 525.7282115696948, 524.2138943611358, 525.6587422186528, 525.4564506785407, 525.4790179362028, 525.0916424937628, 524.9340662303176, 526.0591960032069, 525.6392828646783, 525.6602581618195, 525.9590865920653, 525.398934072518, 525.7690477205741, 525.0293773192549, 525.5265853466292, 522.9663005031128, 525.0873460031515, 525.6284378722315, 526.8577956954889, 524.9811428139686, 525.5319188877518, 522.5722394751904, 525.378733881935]",
00000000000000000002,1520355,12.260826904893074,7.3317946334626445,18.225284504565135,10.889133399001697,-5.964457599672061,-3.5573387655390523,"[24.772662208630237, 19.863928700948232, 12.12368020762587, 9.772484983910704, 0.0, 0.0, 33.642625333515674, 14.566553102863992, 0.0, 25.347968308504228, 16.94113854459407, 31.430333018903333, 28.4710648341854, 26.790999423427245, 0.0, 26.74269632629984, 23.926617641134797, 35.644373029227054, 29.00347323059713, 24.317287540565925, 26.86574906862391, 23.637150489828933, 25.008001493669227, 21.152078523964185, 24.761145179344854, 24.409321827766632, 21.308962254258816, 22.455245893843696, 23.72797221717662, 27.20881759347743, 26.498891217493508, 32.723621774931395, 28.73053950090902, 36.28601987640161, 36.28253205837617, 39.89492735555999]","[703.4671310713255, 694.3819607697186, 703.1859350587447, 709.2796967518909, 0.0, 0.0, 583.4628647432492, 713.9234906812626, 0.0, 684.8215297836875, 704.3636868674707, 690.6536734103386, 701.6083202861971, 697.5442427404225, 0.0, 704.9450806823735, 677.1080340161936, 676.8826667604707, 678.4496504602396, 686.3348592748007, 685.9054058335721, 686.382163462472, 697.2381355878101, 702.2594390650584, 695.6260734878986, 698.3960208565361, 693.9100601999158, 694.5060749935135, 683.0088603974126, 686.8406001242679, 687.7885275182275, 681.4681166898456, 674.6423154438637, 664.0504166930623, 665.2811879803663, 661.3015896164218]",
00000000000000000003,689044,20.626129236722498,-16.07227603100673,60.478848455354054,7.396269908237087,-39.852719218631556,-23.468545939243818,"[0.0, 100.03681207143202, 102.86486023136999, 39.06753470666478, 0.0, 17.67560620944921, 66.72247874436553, 57.2263566697395, 0.0, 0.0, 0.0, 0.0, 1.6652190022858238, 22.708619714041642, 61.126089061981574, 73.60510942991806, 65.86065093659197, 71.769004822216, 93.28067503953888, 105.7165737517578, 65.42095865581297, 74.33579909125064, 75.46949795144042, 84.36529141853504, 69.80060212354657, 84.46448141157006, 53.879689916476806, 81.47336568113684, 84.4585807389276, 84.43242627689189, 68.22215547293617, 78.22539123038541, 70.60736818955706, 67.22217756287174, 43.61780277789106, 43.20521433435154]","[0.0, 1341.3176507045077, 1534.7860570890425, 1137.9884967412224, 0.0, 992.8444865634457, 1570.1182202166465, 1576.9784366925755, 0.0, 0.0, 0.0, 0.0, 244.51824652698778, 1278.0602599111348, 1698.7317556360613, 1536.9909052731334, 1595.8367208250893, 1623.45680218788, 1606.7678727740297, 1568.7430947216453, 1445.1813509427798, 1489.997601821487, 1587.865570818723, 1624.8017701365636, 1571.646342793678, 1634.4018943565975, 1507.3207529192637, 1656.585056486315, 1625.088277710981, 1690.7569629365862, 1714.3500792226087, 1720.3523296443768, 1667.699254077804, 1675.6999078041213, 1678.0358474795862, 1707.1731025270092]",
00000000000000000004,5570996,-0.41540902915799016,-0.040227917053222484,6.175073796044899,0.30568993017578133,-6.590482825202889,-0.3459178472290038,"[0.0, 0.0, 0.0, 0.0, 0.0, 24.52358848296982, 15.767280327230143, 86.06540340861193, 0.0, 0.0, 1.2848741847931509, 0.0, 11.284013627480201, 3.4924153894342167, 0.8279455522882193, 11.094347641331185, 3.8175901543095563, 1.7959524324410203, 4.338912093043891, 3.7759946009638723, 4.483494773809935, 2.4213266467270778, 3.399428419044887, 9.690438895377788, 8.825174959288669, 2.9732743953457654, 24.821056344050458, 2.4223090073787974, 7.047375867570214, 4.193731491153027, 4.4525227594901455, 5.668107511933931, 6.26492045839006, 4.818817198652685, 4.89740976050238, 6.053617137806631]","[0.0, 0.0, 0.0, 0.0, 79.06967750204083, 578.4340564451015, 597.2562679017688, 143.91144918863455, 33.486523004697546, 0.0, 570.866766748749, 0.0, 545.3988366291447, 593.63150539509, 429.17816681431, 604.5876961637964, 608.4194360011983, 612.6110551944016, 611.2863823607803, 610.86552471133, 587.4473772375911, 611.5434188415027, 604.1179048743147, 565.4447828116797, 574.7042482913887, 595.4403442315488, 382.0029838971241, 479.4482334162408, 606.3466997774359, 610.3854150402342, 609.3648053970496, 660.1737901025954, 603.3762593164938, 611.047279079911, 597.6317303398085, 598.5435056536285]",
00000000000000000005,972423,-0.01732967349028719,-0.06190825987117987,0.4968068046808108,0.3636335321044922,-0.514136478171098,-0.42554179197567205,"[0.0, 1.5814129786039346, 1.2306598444218653, 1.488640437059593, 0.0, 0.0, 0.20510338494873048, 1.3379418350375358, 0.24243490991952954, 1.1340638168449952, 1.137538904040297, 1.0192771790967803, 0.6389064252130242, 0.9031408257776609, 0.9357050817923751, 0.6651273808828323, 0.9206893576430359, 0.9576671964539751, 1.0780592669888442, 1.1551314776163797, 1.070612001049809, 1.0541991403054654, 1.1677958796657235, 1.1929513287470825, 1.0725060220293847, 1.0956482832045602, 0.886695636296767, 0.8476166379643427, 0.8810247807126502, 0.956105002279122, 0.8010428010560234, 0.8447529703979436, 0.8512333818419165, 0.8900963076272372, 0.7856735721083657, 0.7710055337751767]","[0.0, 107.52679287740156, 127.70252263365052, 126.95290010818007, 0.0, 0.0, 119.63759946613243, 125.76893363222214, 94.04550859350452, 125.90356776800677, 126.10111320632178, 127.10059636979055, 127.06640162094733, 127.83217394033585, 126.53823964520046, 126.56876888932882, 127.11873175704426, 126.73768170672106, 127.29177927488608, 127.6647608806242, 127.86859110820497, 126.98387490166523, 127.02698105987827, 127.04614204865624, 127.73596201916068, 127.24036663175029, 127.95202356708698, 127.72496466449844, 127.63714395163815, 127.62436657090656, 127.02362345822087, 128.62079213354215, 127.35986166036986, 127.7318108220518, 127.7669019386513, 128.06939617982968]",
00000000000000000006,2658885,42.878877044790784,55.32151258758449,48.154086722181866,57.96746551722414,-5.2752096773910795,-2.6459529296396496,"[8.867387624798535, 0.0, 55.076603605019784, 43.29001037027039, 0.0, 20.283722629855912, 0.0, 25.268051463881612, 10.177978717192536, 16.463172140866043, 16.1747437796735, 0.0, 0.0, 0.0, 32.80174607411482, 33.114649794121384, 38.21779545301682, 43.78936858307487, 48.843915889583755, 32.02892901187231, 40.476059392809674, 46.96716179336998, 36.68009069905306, 40.70375842805921, 47.66484187682331, 50.475904095382354, 41.79327305104481, 54.17925228684877, 58.76846485111431, 72.16443508482146, 74.4406455014374, 80.2961906901756, 89.74285056648182, 87.69208607099021, 94.15864391707993, 97.11233546667366]","[25.198423545737402, 0.0, 520.5593743307686, 527.6543007366585, 0.0, 216.57504058526067, 21.001705870242436, 591.7800898984159, 607.937019541189, 617.5780766347468, 610.8611963962053, 0.0, 0.0, 0.0, 585.4016250029395, 578.296235959382, 571.2616729647517, 572.1518272933799, 562.3783052772932, 561.4547765423304, 559.0062945806787, 559.1888889552321, 553.8674029015735, 553.750422554054, 546.601708249194, 535.076583087178, 539.599464166635, 500.00669688749343, 500.81510505647185, 484.46678082057144, 473.41647973757256, 449.9355533479272, 441.98020697779424, 436.2707804273573, 429.2429331670052, 417.9237654264995]",
00000000000000000007,2587066,5.820224928170429,15.650459106666174,17.607018089930044,29.575515067687753,-11.786793161759615,-13.92505596102158,"[0.0, 0.0, 0.0, 0.0, 0.0, 46.922059839337585, 127.6048826577504, 47.10668958920597, 57.13486485667044, 52.50815026279554, 41.857342265261714, 45.38610055539668, 44.22882725752802, 40.977940494099016, 37.21146062233177, 41.74276957380776, 38.66473085024143, 39.11286523495097, 42.522219817150074, 41.02725015312393, 38.1914802569302, 39.04079943354924, 36.35745335470161, 37.766746844791314, 43.32165306818324, 35.67754530825353, 37.676386690498745, 44.475478746273396, 41.376050463735616, 31.046311048943128, 30.791212701009933, 33.17205345348437, 26.624084534410656, 29.226797240390134, 30.634821499232, 27.36336849470033]","[0.0, 0.0, 0.0, 0.0, 0.0, 197.15656862568557, 117.63710796554349, 223.29723617804387, 65.61703042291195, 96.34203480576326, 198.0467030341826, 146.0890704226956, 221.9937846636883, 164.00595530654525, 247.43858871587406, 152.15900537489375, 176.31470359277105, 281.0486464746775, 234.03393651491098, 263.43940329238325, 132.01768264117973, 121.2122338477879, 129.3645794618513, 105.33862790418772, 170.80019451462206, 190.16709198443306, 87.49681409883692, 141.0009229111447, 95.93511664034594, 92.48676163887825, 75.64710810349732, 435.35363655763393, 136.99687156550377, 109.63411516914582, 136.30245786709952, 137.08281341286798]",
00000000000000000008,1135422,1.5084223392915188,0.13625608610002113,1.6998272975171935,0.19851245357953248,-0.1914049582256747,-0.062256367479511354,"[0.0, 0.0, 0.0635427969970703, 0.052287993982651666, 0.0, 0.887323190374637, 0.3916222652370081, 1.354332185005467, 0.0061774119262695305, 2.159892790844018, 0.6694818838405223, 1.498077513626179, 2.1402742883045023, 2.3952099854204913, 0.6405606958491304, 1.5112359140819285, 3.3659165187557396, 1.2464215023009306, 2.81324731196763, 3.6062559129073937, 2.1823844873307863, 1.992611617600383, 2.4571596627568066, 3.235893607326111, 2.3352495929251957, 1.198952585048066, 3.1089312241253846, 1.0372547074817187, 2.357641333850067, 3.141844639712306, 3.355171573108835, 3.287628498664166, 2.9041798593213435, 3.307498541232466, 2.896991959032916, 1.7121233065025343]","[0.0, 0.0, 0.29388051434326173, 5.830692304118125, 0.0, 8.427365598560296, 9.548028401269464, 8.980041385032022, 1.1445045775182383, 9.10543119097106, 9.242590972048005, 8.856989157790242, 1.6254787537999746, 9.234692598651442, 9.60665800167877, 9.466428061649024, 9.363192155909598, 9.56347789217738, 8.811563922389817, 9.60384672942894, 8.578453411855895, 8.546742947085392, 9.129294928554373, 9.475707380325781, 8.9153337820334, 9.288792378507686, 9.052927007617901, 8.332267481570263, 9.269600007228687, 8.906492814529942, 8.903882855200903, 9.397217902334376, 8.538056941513249, 8.918364983498252, 9.233434300819994, 8.88744770542278]",
00000000000000000009,1873515,1.022484569279057,2.431339683837688,2.294238095763601,2.9703406275434068,-1.271753526484544,-0.5390009437057185,"[2.825550746928863, 2.1510548381965267, 2.311873226298976, 1.877569398111738, 0.0, 0.0, 0.0, 3.337086855565939, 0.0, 4.388853407036978, 2.514361461968644, 0.0, 0.0, 0.0, 0.0, 2.5474257198469727, 1.7450611905177769, 1.605772359378595, 2.4007822689706875, 2.0226481094360413, 1.3147277789050524, 0.6950685388253027, 1.7433457931262548, 2.1436596817413864, 2.2923510189431675, 2.1839806206097823, 1.8784198246022037, 2.4994031738032456, 3.0425076959046873, 2.8834625726917076, 2.3965185480253526, 2.425249026447859, 2.316624650563922, 2.8980367301200283, 2.7613011644361594, 2.8154665736565376]","[104.96772730536425, 104.00872661695644, 107.30708331522385, 105.06232743688577, 0.0, 0.0, 0.0, 102.88543083179236, 0.0, 103.31147092526996, 105.70316082314426, 0.0, 0.0, 0.0, 0.0, 107.04863661402962, 104.6003675566148, 106.86983162964665, 106.10997393052213, 106.30625253098357, 106.49300544463007, 105.98682900329014, 107.33385944537558, 105.90414034772326, 105.64664575034337, 107.58065236281763, 105.76898262325744, 105.3207885281962, 103.96398974091997, 105.19536722969973, 105.02052221096466, 105.75560108984351, 104.97651337165037, 104.30570270324019, 104.72793682039585, 105.12300838953476]",
