Dvina 		Ganges-Brahmaputra		MacKenzie		Mekong		Mississippi		Niger		Nile		Parana		Waipaoa		Yellow
   -11.250    -6.771		   -11.250   -18.214		   -11.250   -86.958		   -11.250   -18.689		   -11.250   -46.686		   -11.250   -28.815		   -11.250   -31.156		   -11.250   -14.751		   -11.250   -24.754		   -11.250   -18.827
   -11.000    -6.184		   -11.000   -14.007		   -11.000   -82.594		   -11.000   -14.332		   -11.000   -42.075		   -11.000   -24.262		   -11.000   -26.740		   -11.000   -10.755		   -11.000   -20.270		   -11.000   -14.575
   -10.750    -6.665		   -10.750   -12.079		   -10.750   -80.101		   -10.750   -12.379		   -10.750   -39.735		   -10.750   -22.020		   -10.750   -24.454		   -10.750    -8.851		   -10.750   -18.026		   -10.750   -12.614
   -10.500    -6.931		   -10.500   -10.287		   -10.500   -77.527		   -10.500   -10.588		   -10.500   -37.524		   -10.500   -19.925		   -10.500   -22.279		   -10.500    -7.095		   -10.500   -15.928		   -10.500   -10.814
   -10.250    -7.474		   -10.250    -8.462		   -10.250   -74.761		   -10.250    -8.721		   -10.250   -35.229		   -10.250   -17.794		   -10.250   -20.132		   -10.250    -5.282		   -10.250   -13.791		   -10.250    -8.935
   -10.000    -7.823		   -10.000    -6.719		   -10.000   -71.873		   -10.000    -6.937		   -10.000   -32.982		   -10.000   -15.743		   -10.000   -18.064		   -10.000    -3.569		   -10.000   -11.736		   -10.000    -7.138
    -9.750    -7.524		    -9.750    -5.010		    -9.750   -68.868		    -9.750    -5.196		    -9.750   -30.743		    -9.750   -13.738		    -9.750   -15.985		    -9.750    -1.897		    -9.750    -9.740		    -9.750    -5.392
    -9.500    -7.090		    -9.500    -3.357		    -9.500   -65.927		    -9.500    -3.514		    -9.500   -28.540		    -9.500   -11.781		    -9.500   -13.947		    -9.500    -0.315		    -9.500    -7.783		    -9.500    -3.687
    -9.250    -6.732		    -9.250    -2.495		    -9.250   -62.744		    -9.250    -2.633		    -9.250   -26.660		    -9.250   -10.561		    -9.250   -12.591		    -9.250     0.413		    -9.250    -6.664		    -9.250    -2.787
    -9.000    -6.145		    -9.000    -1.445		    -9.000   -59.655		    -9.000    -1.571		    -9.000   -24.823		    -9.000    -9.198		    -9.000   -11.091		    -9.000     1.361		    -9.000    -5.361		    -9.000    -1.695
    -8.750    -5.420		    -8.750    -0.219		    -8.750   -56.463		    -8.750    -0.360		    -8.750   -22.913		    -8.750    -7.683		    -8.750    -9.470		    -8.750     2.514		    -8.750    -3.890		    -8.750    -0.410
    -8.500    -4.658		    -8.500     0.953		    -8.500   -53.352		    -8.500     0.848		    -8.500   -21.046		    -8.500    -6.221		    -8.500    -7.915		    -8.500     3.591		    -8.500    -2.482		    -8.500     0.796
    -8.250    -3.979		    -8.250     1.905		    -8.250   -49.984		    -8.250     1.851		    -8.250   -19.158		    -8.250    -4.952		    -8.250    -6.571		    -8.250     4.416		    -8.250    -1.338		    -8.250     1.803
    -8.000    -3.312		    -8.000     2.797		    -8.000   -46.777		    -8.000     2.805		    -8.000   -17.366		    -8.000    -3.750		    -8.000    -5.300		    -8.000     5.217		    -8.000    -0.255		    -8.000     2.756
