Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.86,74,12.42
s2,0.43,112,12.00
n2,0.38,38,12.66
k1,0.07,-51,23.93
m4,0.29,98,06.21
o1,0.06,-50,25.82
