Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.07,133,12.42
s2,0.02,45,12.00
n2,0.03,111,12.66
k1,0.09,-121,23.93
m4,0.00,90,06.21
o1,0.06,-123,25.82
