Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.41,-149,12.42
s2,0.61,-52,12.00
n2,0.34,88,12.66
k1,0.61,31,23.93
m4,0.29,170,06.21
o1,0.06,-16,25.82
