Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.13,-116,12.42
s2,0.31,-62,12.00
n2,0.24,-146,12.66
k1,0.11,54,23.93
m4,0.00,3,06.21
o1,0.02,23,25.82
