Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.56,-38,12.42
s2,0.44,33,12.00
n2,0.25,-59,12.66
k1,0.06,38,23.93
m4,0.14,168,06.21
o1,0.10,-122,25.82
