Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.09,-82,12.42
s2,0.05,-16,12.00
n2,0.01,-66,12.66
k1,0.01,-49,23.93
m4,0.00,0,06.21
o1,0.01,-101,25.82
