Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.08,138,12.42
s2,0.02,37,12.00
n2,0.03,112,12.66
k1,0.10,-120,23.93
m4,0.00,2,06.21
o1,0.06,59,25.82
