Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.08,-114,12.42
s2,0.05,-105,12.00
n2,0.01,-114,12.66
k1,0.02,-86,23.93
m4,0.01,32,06.21
o1,0.01,-122,25.82
