Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.50,-82,12.42
s2,0.38,-32,12.00
n2,0.06,-89,12.66
k1,0.22,160,23.93
m4,0.00,-90,06.21
o1,0.17,135,25.82
