Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.75,103,12.42
s2,0.40,144,12.00
n2,0.16,105,12.66
k1,0.16,-116,23.93
m4,0.02,-32,06.21
o1,0.06,-139,25.82
