Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.10,-77,12.42
s2,0.36,-46,12.00
n2,0.23,-101,12.66
k1,0.46,-92,23.93
m4,0.01,-5,06.21
o1,0.29,-107,25.82
