Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.50,82,12.42
s2,0.17,111,12.00
n2,0.10,75,12.66
k1,0.09,0,23.93
m4,0.00,-90,06.21
o1,0.01,-85,25.82
