Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.69,27,12.42
s2,0.11,-52,12.00
n2,0.03,-62,12.66
k1,0.02,-86,23.93
m4,0.00,0,06.21
o1,0.09,-147,25.82
