Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.47,-105,12.42
s2,0.15,-70,12.00
n2,0.11,-120,12.66
k1,0.10,-101,23.93
m4,0.04,-134,06.21
o1,0.08,-107,25.82
