Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.01,113,12.42
s2,0.01,107,12.00
n2,0.00,153,12.66
k1,0.14,21,23.93
m4,0.00,-45,06.21
o1,0.13,13,25.82
