Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.18,-65,12.42
s2,0.01,37,12.00
n2,0.01,-61,12.66
k1,0.01,129,23.93
m4,0.01,90,06.21
o1,0.01,-39,25.82
