Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.83,179,12.42
s2,0.32,-132,12.00
n2,0.18,-176,12.66
k1,0.09,-42,23.93
m4,0.22,-174,06.21
o1,0.04,-50,25.82
