Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.08,-121,12.42
s2,0.03,-125,12.00
n2,0.03,-143,12.66
k1,0.16,20,23.93
m4,0.00,124,06.21
o1,0.15,15,25.82
