Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.70,-168,12.42
s2,0.27,-150,12.00
n2,0.14,-176,12.66
k1,0.04,-99,23.93
m4,0.01,-14,06.21
o1,0.06,169,25.82
