Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.68,-151,12.42
s2,0.17,-133,12.00
n2,0.14,-178,12.66
k1,0.39,-133,23.93
m4,0.00,-180,06.21
o1,0.24,-149,25.82
