Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.08,140,12.42
s2,0.02,35,12.00
n2,0.03,113,12.66
k1,0.10,-119,23.93
m4,0.00,2,06.21
o1,0.06,60,25.82
