Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.57,109,12.42
s2,0.65,158,12.00
n2,0.28,95,12.66
k1,0.26,81,23.93
m4,0.07,149,06.21
o1,0.11,41,25.82
