Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.94,-117,12.42
s2,0.26,-93,12.00
n2,0.19,-149,12.66
k1,0.43,-118,23.93
m4,0.00,-180,06.21
o1,0.26,-135,25.82
