Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.22,-115,12.42
s2,0.33,-60,12.00
n2,0.26,-147,12.66
k1,0.12,57,23.93
m4,0.01,5,06.21
o1,0.03,28,25.82
