Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.21,-115,12.42
s2,0.33,-60,12.00
n2,0.26,-147,12.66
k1,0.12,58,23.93
m4,0.00,4,06.21
o1,0.03,30,25.82
