Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.09,151,12.42
s2,0.02,23,12.00
n2,0.03,120,12.66
k1,0.10,-118,23.93
m4,0.00,4,06.21
o1,0.06,63,25.82
