Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.14,-116,12.42
s2,0.32,-62,12.00
n2,0.25,-146,12.66
k1,0.11,54,23.93
m4,0.00,-162,06.21
o1,0.02,57,25.82
