Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.02,53,12.42
s2,0.01,81,12.00
n2,0.00,72,12.66
k1,0.01,72,23.93
m4,0.00,-90,06.21
o1,0.01,68,25.82
