Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,1.25,46,12.42
s2,0.72,86,12.00
n2,0.20,30,12.66
k1,0.01,-18,23.93
m4,0.01,13,06.21
o1,0.04,-17,25.82
