Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.54,100,12.42
s2,0.19,129,12.00
n2,0.11,95,12.66
k1,0.13,-7,23.93
m4,0.02,-43,06.21
o1,0.03,-39,25.82
