Constituent,Amplitude (m),Phase (deg GMT),Period (hr)
m2,0.06,130,12.42
s2,0.01,51,12.00
n2,0.02,111,12.66
k1,0.09,-121,23.93
m4,0.00,0,06.21
o1,0.05,54,25.82
