DOY,Qs in kg/s
15,9.32E+00
46,1.38E+01
75,1.82E+01
106,8.10E+00
136,2.12E+02
167,4.09E+03
197,1.77E+03
228,8.71E+02
259,6.47E+02
289,2.58E+02
320,5.39E+01
350,9.74E+00
